GEONAME,,,lntitle,geoid,CIT_EST,CVAP_EST
Census Tract 1601.01, Suffolk County, Massachusetts,Total,14000US25025160101,5840,3055
Census Tract 1601.01, Suffolk County, Massachusetts,Not Hispanic or Latino,14000US25025160101,1510,1085
Census Tract 1601.01, Suffolk County, Massachusetts,American Indian or Alaska Native Alone,14000US25025160101,25,25
Census Tract 1601.01, Suffolk County, Massachusetts,Asian Alone,14000US25025160101,65,25
Census Tract 1601.01, Suffolk County, Massachusetts,Black or African American Alone,14000US25025160101,305,175
Census Tract 1601.01, Suffolk County, Massachusetts,Native Hawaiian or Other Pacific Islander Alone,14000US25025160101,0,0
Census Tract 1601.01, Suffolk County, Massachusetts,White Alone,14000US25025160101,1070,815
Census Tract 1601.01, Suffolk County, Massachusetts,American Indian or Alaska Native and White,14000US25025160101,30,30
Census Tract 1601.01, Suffolk County, Massachusetts,Asian and White,14000US25025160101,0,0
Census Tract 1601.01, Suffolk County, Massachusetts,Black or African American and White,14000US25025160101,15,15
Census Tract 1601.01, Suffolk County, Massachusetts,American Indian or Alaska Native and Black or African American,14000US25025160101,0,0
Census Tract 1601.01, Suffolk County, Massachusetts,Remainder of Two or More Race Responses,14000US25025160101,0,0
Census Tract 1601.01, Suffolk County, Massachusetts,Hispanic or Latino,14000US25025160101,4330,1965
Census Tract 1602, Suffolk County, Massachusetts,Total,14000US25025160200,2490,1315
Census Tract 1602, Suffolk County, Massachusetts,Not Hispanic or Latino,14000US25025160200,515,410
Census Tract 1602, Suffolk County, Massachusetts,American Indian or Alaska Native Alone,14000US25025160200,0,0
Census Tract 1602, Suffolk County, Massachusetts,Asian Alone,14000US25025160200,135,65
Census Tract 1602, Suffolk County, Massachusetts,Black or African American Alone,14000US25025160200,55,40
Census Tract 1602, Suffolk County, Massachusetts,Native Hawaiian or Other Pacific Islander Alone,14000US25025160200,0,0
Census Tract 1602, Suffolk County, Massachusetts,White Alone,14000US25025160200,280,280
Census Tract 1602, Suffolk County, Massachusetts,American Indian or Alaska Native and White,14000US25025160200,0,0
Census Tract 1602, Suffolk County, Massachusetts,Asian and White,14000US25025160200,20,0
Census Tract 1602, Suffolk County, Massachusetts,Black or African American and White,14000US25025160200,25,25
Census Tract 1602, Suffolk County, Massachusetts,American Indian or Alaska Native and Black or African American,14000US25025160200,0,0
Census Tract 1602, Suffolk County, Massachusetts,Remainder of Two or More Race Responses,14000US25025160200,0,0
Census Tract 1602, Suffolk County, Massachusetts,Hispanic or Latino,14000US25025160200,1975,905
Census Tract 1603, Suffolk County, Massachusetts,Total,14000US25025160300,2160,1860
Census Tract 1603, Suffolk County, Massachusetts,Not Hispanic or Latino,14000US25025160300,1630,1480
Census Tract 1603, Suffolk County, Massachusetts,American Indian or Alaska Native Alone,14000US25025160300,0,0
Census Tract 1603, Suffolk County, Massachusetts,Asian Alone,14000US25025160300,50,50
Census Tract 1603, Suffolk County, Massachusetts,Black or African American Alone,14000US25025160300,215,170
Census Tract 1603, Suffolk County, Massachusetts,Native Hawaiian or Other Pacific Islander Alone,14000US25025160300,0,0
Census Tract 1603, Suffolk County, Massachusetts,White Alone,14000US25025160300,1215,1155
Census Tract 1603, Suffolk County, Massachusetts,American Indian or Alaska Native and White,14000US25025160300,15,15
Census Tract 1603, Suffolk County, Massachusetts,Asian and White,14000US25025160300,45,45
Census Tract 1603, Suffolk County, Massachusetts,Black or African American and White,14000US25025160300,65,35
Census Tract 1603, Suffolk County, Massachusetts,American Indian or Alaska Native and Black or African American,14000US25025160300,0,0
Census Tract 1603, Suffolk County, Massachusetts,Remainder of Two or More Race Responses,14000US25025160300,20,15
Census Tract 1603, Suffolk County, Massachusetts,Hispanic or Latino,14000US25025160300,530,375
Census Tract 1604, Suffolk County, Massachusetts,Total,14000US25025160400,1985,1420
Census Tract 1604, Suffolk County, Massachusetts,Not Hispanic or Latino,14000US25025160400,820,680
Census Tract 1604, Suffolk County, Massachusetts,American Indian or Alaska Native Alone,14000US25025160400,30,4
Census Tract 1604, Suffolk County, Massachusetts,Asian Alone,14000US25025160400,4,4
Census Tract 1604, Suffolk County, Massachusetts,Black or African American Alone,14000US25025160400,170,95
