geoname,,,lntitle,geoid,CIT_EST,CVAP_EST
Census Tract 1601.02, Suffolk County, Massachusetts,Total,1400000US25025160102,2380,1530
Census Tract 1601.02, Suffolk County, Massachusetts,Not Hispanic or Latino,1400000US25025160102,585,480
Census Tract 1601.02, Suffolk County, Massachusetts,American Indian or Alaska Native Alone,1400000US25025160102,0,0
Census Tract 1601.02, Suffolk County, Massachusetts,Asian Alone,1400000US25025160102,25,0
Census Tract 1601.02, Suffolk County, Massachusetts,Black or African American Alone,1400000US25025160102,210,175
Census Tract 1601.02, Suffolk County, Massachusetts,Native Hawaiian or Other Pacific Islander Alone,1400000US25025160102,0,0
Census Tract 1601.02, Suffolk County, Massachusetts,White Alone,1400000US25025160102,315,270
Census Tract 1601.02, Suffolk County, Massachusetts,American Indian or Alaska Native and White,1400000US25025160102,0,0
Census Tract 1601.02, Suffolk County, Massachusetts,Asian and White,1400000US25025160102,0,0
Census Tract 1601.02, Suffolk County, Massachusetts,Black or African American and White,1400000US25025160102,30,30
Census Tract 1601.02, Suffolk County, Massachusetts,American Indian or Alaska Native and Black or African American,1400000US25025160102,0,0
Census Tract 1601.02, Suffolk County, Massachusetts,Remainder of Two or More Race Responses,1400000US25025160102,0,0
Census Tract 1601.02, Suffolk County, Massachusetts,Hispanic or Latino,1400000US25025160102,1795,1050
Census Tract 1601.03, Suffolk County, Massachusetts,Total,1400000US25025160103,2590,1550
Census Tract 1601.03, Suffolk County, Massachusetts,Not Hispanic or Latino,1400000US25025160103,950,785
Census Tract 1601.03, Suffolk County, Massachusetts,American Indian or Alaska Native Alone,1400000US25025160103,0,0
Census Tract 1601.03, Suffolk County, Massachusetts,Asian Alone,1400000US25025160103,15,15
Census Tract 1601.03, Suffolk County, Massachusetts,Black or African American Alone,1400000US25025160103,305,255
Census Tract 1601.03, Suffolk County, Massachusetts,Native Hawaiian or Other Pacific Islander Alone,1400000US25025160103,0,0
Census Tract 1601.03, Suffolk County, Massachusetts,White Alone,1400000US25025160103,630,520
Census Tract 1601.03, Suffolk County, Massachusetts,American Indian or Alaska Native and White,1400000US25025160103,0,0
Census Tract 1601.03, Suffolk County, Massachusetts,Asian and White,1400000US25025160103,0,0
Census Tract 1601.03, Suffolk County, Massachusetts,Black or African American and White,1400000US25025160103,0,0
Census Tract 1601.03, Suffolk County, Massachusetts,American Indian or Alaska Native and Black or African American,1400000US25025160103,0,0
