"Label (Grouping)","Census Tract 1601.02; Suffolk County; Massachusetts!!Number!!Estimate","Census Tract 1601.02; Suffolk County; Massachusetts!!Number!!Margin of Error","Census Tract 1601.02; Suffolk County; Massachusetts!!Percent Distribution!!Estimate","Census Tract 1601.02; Suffolk County; Massachusetts!!Percent Distribution!!Margin of Error","Census Tract 1601.02; Suffolk County; Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1601.02; Suffolk County; Massachusetts!!Median income (dollars)!!Margin of Error","Census Tract 1601.03; Suffolk County; Massachusetts!!Number!!Estimate","Census Tract 1601.03; Suffolk County; Massachusetts!!Number!!Margin of Error","Census Tract 1601.03; Suffolk County; Massachusetts!!Percent Distribution!!Estimate","Census Tract 1601.03; Suffolk County; Massachusetts!!Percent Distribution!!Margin of Error","Census Tract 1601.03; Suffolk County; Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1601.03; Suffolk County; Massachusetts!!Median income (dollars)!!Margin of Error","Census Tract 1602; Suffolk County; Massachusetts!!Number!!Estimate","Census Tract 1602; Suffolk County; Massachusetts!!Number!!Margin of Error","Census Tract 1602; Suffolk County; Massachusetts!!Percent Distribution!!Estimate","Census Tract 1602; Suffolk County; Massachusetts!!Percent Distribution!!Margin of Error","Census Tract 1602; Suffolk County; Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1602; Suffolk County; Massachusetts!!Median income (dollars)!!Margin of Error","Census Tract 1603; Suffolk County; Massachusetts!!Number!!Estimate","Census Tract 1603; Suffolk County; Massachusetts!!Number!!Margin of Error","Census Tract 1603; Suffolk County; Massachusetts!!Percent Distribution!!Estimate","Census Tract 1603; Suffolk County; Massachusetts!!Percent Distribution!!Margin of Error","Census Tract 1603; Suffolk County; Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1603; Suffolk County; Massachusetts!!Median income (dollars)!!Margin of Error","Census Tract 1604; Suffolk County; Massachusetts!!Number!!Estimate","Census Tract 1604; Suffolk County; Massachusetts!!Number!!Margin of Error","Census Tract 1604; Suffolk County; Massachusetts!!Percent Distribution!!Estimate","Census Tract 1604; Suffolk County; Massachusetts!!Percent Distribution!!Margin of Error","Census Tract 1604; Suffolk County; Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1604; Suffolk County; Massachusetts!!Median income (dollars)!!Margin of Error","Census Tract 1605.01; Suffolk County; Massachusetts!!Number!!Estimate","Census Tract 1605.01; Suffolk County; Massachusetts!!Number!!Margin of Error","Census Tract 1605.01; Suffolk County; Massachusetts!!Percent Distribution!!Estimate","Census Tract 1605.01; Suffolk County; Massachusetts!!Percent Distribution!!Margin of Error","Census Tract 1605.01; Suffolk County; Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1605.01; Suffolk County; Massachusetts!!Median income (dollars)!!Margin of Error","Census Tract 1605.02; Suffolk County; Massachusetts!!Number!!Estimate","Census Tract 1605.02; Suffolk County; Massachusetts!!Number!!Margin of Error","Census Tract 1605.02; Suffolk County; Massachusetts!!Percent Distribution!!Estimate","Census Tract 1605.02; Suffolk County; Massachusetts!!Percent Distribution!!Margin of Error","Census Tract 1605.02; Suffolk County; Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1605.02; Suffolk County; Massachusetts!!Median income (dollars)!!Margin of Error","Census Tract 1606.01; Suffolk County; Massachusetts!!Number!!Estimate","Census Tract 1606.01; Suffolk County; Massachusetts!!Number!!Margin of Error","Census Tract 1606.01; Suffolk County; Massachusetts!!Percent Distribution!!Estimate","Census Tract 1606.01; Suffolk County; Massachusetts!!Percent Distribution!!Margin of Error","Census Tract 1606.01; Suffolk County; Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1606.01; Suffolk County; Massachusetts!!Median income (dollars)!!Margin of Error","Census Tract 1606.02; Suffolk County; Massachusetts!!Number!!Estimate","Census Tract 1606.02; Suffolk County; Massachusetts!!Number!!Margin of Error","Census Tract 1606.02; Suffolk County; Massachusetts!!Percent Distribution!!Estimate","Census Tract 1606.02; Suffolk County; Massachusetts!!Percent Distribution!!Margin of Error","Census Tract 1606.02; Suffolk County; Massachusetts!!Median income (dollars)!!Estimate","Census Tract 1606.02; Suffolk County; Massachusetts!!Median income (dollars)!!Margin of Error","Chelsea city, Massachusetts!!Number!!Estimate","Chelsea city, Massachusetts!!Number!!Margin of Error","Chelsea city, Massachusetts!!Percent Distribution!!Estimate","Chelsea city, Massachusetts!!Percent Distribution!!Margin of Error","Chelsea city, Massachusetts!!Median income (dollars)!!Estimate","Chelsea city, Massachusetts!!Median income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Households","1,150","±193","1,150","±193","67,500","±22,587","1,230","±171","1,230","±171","80,573","±24,774","1,196","±153","1,196","±153","73,889","±4,257","1,351","±169","1,351","±169","75,417","±34,623","1,555","±182","1,555","±182","74,329","±17,598","1,971","±277","1,971","±277","59,625","±22,869","1,852","±198","1,852","±198","55,568","±20,528","1,602","±174","1,602","±174","108,605","±24,647","1,631","±180","1,631","±180","75,985","±16,318","13,538","±600","13,538","±600","72,220","±5,520"
"        One race--","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            White","292","±117","25.4%","±9.3","-","**","327","±123","26.6%","±10.8","97,661","±29,799","234","±89","19.6%","±7.4","62,353","±25,976","917","±141","67.9%","±9.7","94,492","±18,357","732","±147","47.1%","±8.9","99,008","±15,875","510","±169","25.9%","±9.7","92,500","±16,794","696","±197","37.6%","±9.5","69,808","±12,462","542","±140","33.8%","±8.1","102,778","±35,998","656","±161","40.2%","±9.9","96,053","±27,223","4,906","±490","36.2%","±3.0","85,756","±6,782"
"            Black or African American","181","±109","15.7%","±9.3","55,461","±54,531","69","±64","5.6%","±5.2","48,914","±35,954","57","±62","4.8%","±5.1","-","**","43","±49","3.2%","±3.7","-","**","71","±59","4.6%","±3.8","105,625","±88,893","256","±176","13.0%","±7.9","-","**","107","±73","5.8%","±3.9","-","**","210","±119","13.1%","±7.2","107,692","±77,001","98","±65","6.0%","±3.9","-","**","1,092","±312","8.1%","±2.2","55,098","±17,430"
"            American Indian and Alaska Native","29","±44","2.5%","±3.9","-","**","0","±14","0.0%","±3.4","-","**","0","±14","0.0%","±3.5","-","**","10","±16","0.7%","±1.2","-","**","0","±14","0.0%","±2.7","-","**","0","±19","0.0%","±2.1","-","**","26","±31","1.4%","±1.6","-","**","8","±12","0.5%","±0.7","-","**","0","±19","0.0%","±2.6","-","**","73","±61","0.5%","±0.4","-","**"
"            Asian","39","±53","3.4%","±4.6","-","**","5","±13","0.4%","±1.0","-","**","11","±18","0.9%","±1.5","-","**","15","±17","1.1%","±1.2","-","**","79","±50","5.1%","±3.2","2,500-","***","125","±118","6.3%","±5.6","71,146","±69,011","38","±32","2.1%","±1.7","-","**","48","±40","3.0%","±2.5","-","**","181","±93","11.1%","±5.7","49,327","±46,670","541","±180","4.0%","±1.3","71,627","±7,773"
"            Native Hawaiian and Other Pacific Islander","0","±14","0.0%","±3.6","-","**","0","±14","0.0%","±3.4","-","**","0","±14","0.0%","±3.5","-","**","0","±14","0.0%","±3.1","-","**","0","±14","0.0%","±2.7","-","**","0","±19","0.0%","±2.1","-","**","0","±19","0.0%","±2.3","-","**","0","±14","0.0%","±2.6","-","**","0","±19","0.0%","±2.6","-","**","0","±29","0.0%","±0.3","-","**"
"            Some other race","68","±54","5.9%","±4.9","53,250","±45,092","169","±128","13.7%","±9.8","80,901","±5,658","22","±18","1.8%","±1.5","-","**","13","±19","1.0%","±1.4","-","**","97","±67","6.2%","±4.3","245,114","±214,071","254","±146","12.9%","±7.4","-","**","267","±121","14.4%","±6.6","-","**","257","±116","16.0%","±7.2","143,079","±58,485","148","±77","9.1%","±4.8","63,534","±39,073","1,295","±229","9.6%","±1.7","80,077","±21,801"
"        Two or more races","541","±176","47.0%","±11.9","97,145","±38,895","660","±194","53.7%","±13.1","59,069","±38,478","872","±154","72.9%","±8.7","74,233","±11,509","353","±157","26.1%","±10.0","-","**","576","±181","37.0%","±10.1","-","**","826","±239","41.9%","±11.1","55,735","±37,750","718","±192","38.8%","±9.3","33,915","±6,660","537","±183","33.5%","±10.5","135,963","±109,215","548","±197","33.6%","±10.2","77,174","±28,318","5,631","±505","41.6%","±3.7","62,094","±11,563"
"        Hispanic or Latino origin (of any race)","719","±189","62.5%","±12.3","95,324","±41,389","808","±188","65.7%","±9.8","80,130","±28,091","985","±154","82.4%","±8.2","73,684","±8,305","388","±152","28.7%","±9.4","-","**","662","±162","42.6%","±9.0","61,667","±22,482","1,112","±218","56.4%","±11.4","60,875","±36,514","903","±177","48.8%","±9.5","56,696","±48,429","713","±177","44.5%","±9.4","137,111","±37,883","778","±181","47.7%","±8.3","83,281","±28,473","7,068","±435","52.2%","±3.5","74,401","±8,115"
