"Label (Grouping)","Census Tract 1601.02, Suffolk County, Massachusetts","Census Tract 1601.03, Suffolk County, Massachusetts","Census Tract 1602, Suffolk County, Massachusetts","Census Tract 1603, Suffolk County, Massachusetts","Census Tract 1604, Suffolk County, Massachusetts","Census Tract 1605.01, Suffolk County, Massachusetts","Census Tract 1605.02, Suffolk County, Massachusetts","Census Tract 1606.01, Suffolk County, Massachusetts","Census Tract 1606.02, Suffolk County, Massachusetts","Chelsea city, Massachusetts"
"Total:","3,823","4,646","4,154","2,753","3,878","6,105","5,604","4,331","5,493","40,787"
"    Population of one race:","3,180","3,772","3,605","2,503","3,334","4,959","4,656","3,642","4,648","34,299"
"        White alone","654","1,051","708","1,657","1,017","1,243","1,510","1,563","1,780","11,183"
"        Black or African American alone","365","282","182","241","295","330","366","353","582","2,996"
"        American Indian and Alaska Native alone","46","68","71","22","46","91","109","62","61","576"
"        Asian alone","91","108","47","139","186","117","215","185","251","1,339"
"        Native Hawaiian and Other Pacific Islander alone","0","0","2","0","0","4","5","2","3","16"
"        Some Other Race alone","2,024","2,263","2,595","444","1,790","3,174","2,451","1,477","1,971","18,189"
"    Population of two or more races:","643","874","549","250","544","1,146","948","689","845","6,488"
"        Population of two races:","622","836","536","241","531","1,101","870","621","812","6,170"
"            White; Black or African American","24","33","26","30","47","29","42","65","51","347"
"            White; American Indian and Alaska Native","4","4","7","6","8","13","35","12","12","101"
"            White; Asian","12","8","6","18","25","11","14","15","12","121"
"            White; Native Hawaiian and Other Pacific Islander","0","0","0","2","0","0","1","0","0","3"
"            White; Some Other Race","418","689","428","151","376","913","630","427","602","4,634"
"            Black or African American; American Indian and Alaska Native","13","0","2","1","5","4","7","6","4","42"
"            Black or African American; Asian","3","0","2","1","5","2","5","1","3","22"
"            Black or African American; Native Hawaiian and Other Pacific Islander","0","3","0","0","1","0","2","0","1","7"
"            Black or African American; Some Other Race","110","59","43","26","34","91","102","68","91","624"
"            American Indian and Alaska Native; Asian","0","0","0","1","1","0","0","0","0","2"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","0","0","0","0","0","0","0","0","0","0"
"            American Indian and Alaska Native; Some Other Race","24","23","19","0","23","23","19","23","25","179"
"            Asian; Native Hawaiian and Other Pacific Islander","5","1","0","0","0","2","0","0","0","8"
"            Asian; Some Other Race","3","9","3","2","5","9","10","4","11","56"
"            Native Hawaiian and Other Pacific Islander; Some Other Race","6","7","0","3","1","4","3","0","0","24"
"        Population of three races:","21","33","13","6","10","37","64","62","28","274"
"            White; Black or African American; American Indian and Alaska Native","5","0","1","1","0","5","24","4","3","43"
"            White; Black or African American; Asian","0","0","1","0","0","0","0","1","0","2"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander","0","0","0","0","0","0","1","0","0","1"
"            White; Black or African American; Some Other Race","7","3","1","3","1","14","11","22","10","72"
"            White; American Indian and Alaska Native; Asian","0","0","2","0","0","0","1","3","1","7"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","0","0","0","0","0","0","0","0","0","0"
"            White; American Indian and Alaska Native; Some Other Race","3","25","4","0","9","13","21","31","4","110"
"            White; Asian; Native Hawaiian and Other Pacific Islander","0","0","0","0","0","0","0","0","2","2"
"            White; Asian; Some Other Race","2","0","2","0","0","0","0","0","4","8"
"            White; Native Hawaiian and Other Pacific Islander; Some Other Race","3","0","0","0","0","1","1","0","0","5"
"            Black or African American; American Indian and Alaska Native; Asian","0","0","0","0","0","0","2","0","1","3"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","0","0","0","0","0","0","0","0","0","0"
"            Black or African American; American Indian and Alaska Native; Some Other Race","0","4","0","1","0","1","3","1","1","11"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander","0","0","2","1","0","0","0","0","0","3"
"            Black or African American; Asian; Some Other Race","0","0","0","0","0","0","0","0","2","2"
"            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","1","1","0","0","0","2","0","0","0","4"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","0","0","0","0","0","1","0","0","0","1"
"            American Indian and Alaska Native; Asian; Some Other Race","0","0","0","0","0","0","0","0","0","0"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0","0","0","0","0","0","0","0","0","0"
"            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0","0","0","0","0","0","0","0","0","0"
"        Population of four races:","0","4","0","3","3","8","14","6","5","43"
"            White; Black or African American; American Indian and Alaska Native; Asian","0","1","0","0","0","0","0","0","1","2"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","0","0","0","0","0","0","0","0","0","0"
"            White; Black or African American; American Indian and Alaska Native; Some Other Race","0","3","0","3","3","8","14","5","1","37"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","0","0","0","0","0","0","0","0","0","0"
"            White; Black or African American; Asian; Some Other Race","0","0","0","0","0","0","0","0","3","3"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","0","0","0","0","0","0","0","0","0","0"
