,ward_number,precinct_number,median_household_income,total_population_one_race_percent,white_alone_percent,black_alone_percent,american_indian_alone_percent,asian_alone_percent,native_hawaiian_alone_percent,other_race_alone_percent,two_more_races_percent,hispanic_population_percent,non_hispanic_population_percent
0,1,1,78641.38223938223,82.51956241956177,21.462548262548438,5.794594594594585,1.5410553410553463,2.0679536679536423,0.001287001287001287,51.62689832689826,17.48043758043745,76.47503217503274,23.524967824968023
1,1,2,78876.39436619719,82.66559356136803,21.298993963782845,5.697585513078445,1.547082494969821,2.0150905432595474,0.0002012072434607646,52.08128772635849,17.334406438631817,76.85010060362185,23.149899396378355
2,1,3,73366.72478386167,82.69438040345744,19.361527377521824,7.67291066282422,1.3658501440922275,2.254178674351579,0.00014409221902017292,51.98054755043265,17.30561959654168,74.77319884726282,25.226801152738016
3,1,4,67869.20283975659,83.35983772819452,17.567545638945386,9.364300202839756,1.2036511156186604,2.512778904665317,0.0002028397565922921,52.616835699797555,16.640162271805394,72.8718052738335,27.128194726166544
4,2,1,75370.58848614072,90.66695095948522,58.59999999999812,8.742697228144712,0.8193496801705502,4.985127931769722,0.00010660980810234542,17.519669509594323,9.33304904051187,28.343283582088695,71.65671641790819
5,2,2,67861.35093167702,83.87805383022709,23.670910973085224,6.64958592132506,1.33146997929608,3.520600414078729,0.04451345755693617,48.70538302277406,16.12194616977214,70.00186335403774,29.998136645962457
6,2,3,74165.42472266244,86.33011093502407,22.833280507131693,6.378446909667179,1.389857369255165,3.3819334389857083,0.0,52.30824088748049,13.669889064976195,71.010459587956,28.98954041204429
7,2,4,74450.26048284625,87.7372299872942,31.937738246505987,6.571283354510829,1.3002541296061065,3.272554002541283,0.0,44.61257941550178,12.262770012706538,61.61842439644198,38.3815756035576
8,3,1,78198.69479166667,83.30406250000001,29.97281250000009,7.083437499999937,1.6428125000000187,3.7897916666667273,0.058020833333333875,40.67614583333302,16.69593749999974,63.478854166667105,36.521145833333456
9,3,2,55789.69588744589,83.11331168831167,26.93625541125574,6.519372294372296,1.894805194805223,3.805844155844212,0.09956709956709854,43.659307359307235,16.88668831168806,67.41785714285714,32.58214285714285
10,3,3,58609.529482551145,81.67557160048023,22.02695547533085,5.675330926594471,1.6001203369434442,2.375571600481366,0.09999999999999946,49.92250300842353,18.324428399518393,75.74669073405535,24.253309265944644
11,3,4,60042.60666666667,81.34133333333199,20.588888888888846,5.4693333333333225,1.4921111111111116,1.9877777777778058,0.09722222222222145,51.80255555555554,18.658666666666367,78.02822222222225,21.97177777777778
12,4,1,89340.38680109991,83.7441796516966,32.72630614115472,7.5856095325388795,1.578826764436324,4.1182401466545295,0.036021998166819696,37.6273143904669,16.25582034830418,59.433363886343535,40.56663611365697
13,4,2,76028.0576368876,84.59759846301706,32.4018251681082,10.591450528338342,1.1013448607108602,4.598655139289142,0.09980787704130487,35.90403458213326,15.402401536983415,53.41623439001056,46.58376560998952
14,4,3,75956.35728542914,84.59610778443164,32.394011976048496,10.58333333333353,1.1008982035928228,4.592714570858265,0.0998003992015954,35.92514970059947,15.403892215568613,53.44471057884324,46.555289421156836
15,4,4,101173.52401746725,84.14541484716155,34.61593886462852,8.372925764192066,1.3567685589519667,4.274126637554634,0.01615720524017463,35.52565502183372,15.854585152838192,55.87237991266444,44.127620087336
