geoid,census_tract,start_date,end_date,median_household_income,cvap_total,cvap_percent,total_pop,asian_alone,asian_indian_alone,asian_chinese_alone,asian_filipino_alone,asian_japanese_alone,asian_korean_alone,asian_vietnamese_alone,asian_other_alone,other_race_alone,two_more_races,hispanic_total_any_pop,hispanic_mexican,hispanic_puerto_rico,hispanic_cuban,hispanic_other_any,non_hispanic_total,white_alone,black_alone,american_indian_alone,native_hawaiian_alone,asian_alone_percent,asian_indian_alone_percent,asian_chinese_alone_percent,asian_filipino_alone_percent,asian_japanese_alone_percent,asian_korean_alone_percent,asian_vietnamese_alone_percent,asian_other_alone_percent,other_race_alone_percent,two_more_races_percent,hispanic_total_any_pop_percent,hispanic_mexican_percent,hispanic_puerto_rico_percent,hispanic_cuban_percent,hispanic_other_any_percent,non_hispanic_total_percent,white_alone_percent,black_alone_percent,american_indian_alone_percent,native_hawaiian_alone_percent
1400000US25025160101,1601.01,1/1/2013,1/1/2018,60234,3053,0.33,9286,241,60,17,26,0,0,0,138,1157,3418,7455,160,1302,41,5952,1831,1094,301,26,0,2.6,0.6,0.2,0.3,0,0,0,1.5,12.5,36.8,80.3,1.7,14,0.4,64.1,19.7,11.8,3.2,0.3,0
1400000US25025160200,1602,1/1/2013,1/1/2018,52633,1316,0.30,4357,162,0,17,8,0,0,3,134,301,2382,3816,169,485,33,3129,541,281,56,0,0,3.7,0,0.4,0.2,0,0,0.1,3.1,6.9,54.7,87.6,3.9,11.1,0.8,71.8,12.4,6.4,1.3,0,0
1400000US25025160300,1603,1/1/2013,1/1/2018,58616,1859,0.75,2476,98,19,13,9,0,7,50,0,142,462,722,29,213,7,473,1754,1265,228,0,0,4,0.8,0.5,0.4,0,0.3,2,0,5.7,18.7,29.2,1.2,8.6,0.3,19.1,70.8,51.1,9.2,0,0
1400000US25025160400,1604,1/1/2013,1/1/2018,50076,1422,0.47,3054,41,0,0,0,6,0,35,0,322,841,2070,56,451,10,1553,984,653,224,28,0,1.3,0,0,0,0.2,0,1.1,0,10.5,27.5,67.8,1.8,14.8,0.3,50.9,32.2,21.4,7.3,0.9,0
1400000US25025160501,1605.01,1/1/2013,1/1/2018,43764,2056,0.40,5145,206,0,34,36,0,0,24,112,308,1937,3687,104,556,0,3027,1458,903,247,0,0,4,0,0.7,0.7,0,0,0.5,2.2,6,37.6,71.7,2,10.8,0,58.8,28.3,17.6,4.8,0,0
1400000US25025160502,1605.02,1/1/2013,1/1/2018,45224,2214,0.46,4832,90,9,1,62,0,1,17,0,359,997,3222,125,500,53,2544,1610,1264,184,0,0,1.9,0.2,0,1.3,0,0,0.4,0,7.4,20.6,66.7,2.6,10.3,1.1,52.6,33.3,26.2,3.8,0,0
1400000US25025160601,1606.01,1/1/2013,1/1/2018,58460,2650,0.55,4833,271,176,19,0,0,68,8,0,269,960,2360,30,684,14,1632,2473,1547,436,0,0,5.6,3.6,0.4,0,0,1.4,0.2,0,5.6,19.9,48.8,0.6,14.2,0.3,33.8,51.2,32,9,0,0
1400000US25025160602,1606.02,1/1/2013,1/1/2018,57857,2726,0.52,5289,301,0,40,0,0,0,229,32,545,1116,2533,117,245,54,2117,2756,1613,625,0,0,5.7,0,0.8,0,0,0,4.3,0.6,10.3,21.1,47.9,2.2,4.6,1,40,52.1,30.5,11.8,0,0
1400000US25025160102,1601.02,1/1/2018,1/1/2023,64605,1531,0.43,3543,67,0,0,0,30,0,0,37,293,1860,2869,28,456,0,2385,674,307,259,0,0,1.9,0,0,0,0.8,0,0,1,8.3,52.5,81,0.8,12.9,0,67.3,19,8.7,7.3,0,0
1400000US25025160103,1601.03,1/1/2018,1/1/2023,76685,1550,0.32,4845,14,0,14,0,0,0,0,0,490,3164,3791,123,79,16,3573,1054,631,409,0,0,0.3,0,0.3,0,0,0,0,0,10.1,65.3,78.2,2.5,1.6,0.3,73.7,21.8,13,8.4,0,0
1400000US25025160200,1602,1/1/2018,1/1/2023,70672,1286,0.28,4545,17,0,4,0,0,13,0,0,201,3022,4049,81,194,0,3774,496,373,90,0,0,0.4,0,0.1,0,0,0.3,0,0,4.4,66.5,89.1,1.8,4.3,0,83,10.9,8.2,2,0,0
