geoid,census_tract,start_date,end_date,total_pop,total_pop_one_race,american_indian_alone,asian_indian_alone,asian_chinese_alone,asian_filipino_alone,asian_japanese_alone,asian_korean_alone,asian_vietnamese_alone,asian_other_alone,native_hawaiian_alone,other_race_alone,hispanic_total_any_pop,hispanic_mexican,hispanic_puerto_rico,hispanic_cuban,hispanic_other_total,hispanic_other_any,non_hispanic_total,white_alone,black_alone,asian_alone,non_hispanic_other_race,two_more_races,total_pop_one_race_percent,american_indian_alone_percent,asian_alone_percent,asian_indian_percent,asian_chinese_percent,asian_filipino_percent,asian_japanese_percent,asian_korean_percent,asian_vietnamese_percent,asian_other_percent,native_hawaiian_percent,other_race_percent,two_more_races_percent,hispanic_any_percent,hispanic_mexican_percent,hispanic_puerto_rican_percent,hispanic_cuban_percent,hispanic_other_percent,non_hispanic_percent,white_alone_percent,black_alone_percent,asian_alone_percent,non_hispanic_other_percent
1400000US25025160101,1601.01,1/1/2013,1/1/2018,9286,5868,46,60,17,26,0,0,0,138,0,1157,1302,41,5952,1831,1094,264,301,26,164,63,0,183,63.2,0.5,2.6,0.6,0.2,0.3,0,0,0,1.5,0,12.5,36.8,14,0.4,64.1,19.7,11.8,3.2,0.3,1.8,0.7,0
1400000US25025160200,1602,1/1/2013,1/1/2018,4357,1975,8,0,17,8,0,0,3,134,0,301,485,33,3129,541,281,123,56,0,162,0,0,42,45.3,0.2,3.7,0,0.4,0.2,0,0,0.1,3.1,0,6.9,54.7,11.1,0.8,71.8,12.4,6.4,1.3,0,3.7,0,0
1400000US25025160300,1603,1/1/2013,1/1/2018,2476,2014,0,19,13,9,0,7,50,0,0,142,213,7,473,1754,1265,162,228,0,98,14,0,149,81.3,0,4,0.8,0.5,0.4,0,0.3,2,0,0,5.7,18.7,8.6,0.3,19.1,70.8,51.1,9.2,0,4,0.6,0
1400000US25025160400,1604,1/1/2013,1/1/2018,3054,2213,28,0,0,0,6,0,35,0,0,322,451,10,1553,984,653,131,224,28,41,21,0,17,72.5,0.9,1.3,0,0,0,0.2,0,1.1,0,0,10.5,27.5,14.8,0.3,50.9,32.2,21.4,7.3,0.9,1.3,0.7,0
1400000US25025160501,1605.01,1/1/2013,1/1/2018,5145,3208,0,0,34,36,0,0,24,112,0,308,556,0,3027,1458,903,249,247,0,206,22,0,80,62.4,0,4,0,0.7,0.7,0,0,0.5,2.2,0,6,37.6,10.8,0,58.8,28.3,17.6,4.8,0,4,0.4,0
1400000US25025160502,1605.02,1/1/2013,1/1/2018,4832,3835,0,9,1,62,0,1,17,0,0,359,500,53,2544,1610,1264,311,184,0,90,12,0,60,79.4,0,1.9,0.2,0,1.3,0,0,0.4,0,0,7.4,20.6,10.3,1.1,52.6,33.3,26.2,3.8,0,1.9,0.2,0
1400000US25025160601,1606.01,1/1/2013,1/1/2018,4833,3873,0,176,19,0,0,68,8,0,0,269,684,14,1632,2473,1547,314,436,0,271,50,53,116,80.1,0,5.6,3.6,0.4,0,0,1.4,0.2,0,0,5.6,19.9,14.2,0.3,33.8,51.2,32,9,0,5.6,1,1.1
1400000US25025160602,1606.02,1/1/2013,1/1/2018,5289,4173,0,0,40,0,0,0,229,32,0,545,245,54,2117,2756,1613,318,625,0,301,55,0,162,78.9,0,5.7,0,0.8,0,0,0,4.3,0.6,0,10.3,21.1,4.6,1,40,52.1,30.5,11.8,0,5.7,1,0
1400000US25025160102,1601.02,1/1/2018,1/1/2023,3543,1683,105,0,0,0,30,0,0,37,0,293,2869,28,456,0,2385,667,674,307,259,67,0,41,47.5,3,1.9,0,0,0,0.8,0,0,1,0,8.3,52.5,81,0.8,12.9,0,67.3,19,8.7,7.3,1.9,0
1400000US25025160103,1601.03,1/1/2018,1/1/2023,4845,1681,0,0,14,0,0,0,0,0,0,490,3791,123,79,16,3573,972,1054,631,409,14,0,0,34.7,0,0.3,0,0.3,0,0,0,0,0,0,10.1,65.3,78.2,2.5,1.6,0.3,73.7,21.8,13,8.4,0.3,0
1400000US25025160200,1602,1/1/2018,1/1/2023,4545,1523,0,0,4,0,0,13,0,0,0,201,4049,81,194,0,3774,827,496,373,90,17,0,16,33.5,0,0.4,0,0.1,0,0,0.3,0,0,0,4.4,66.5,89.1,1.8,4.3,0,83,10.9,8.2,2,0.4,0
1400000US25025160300,1603,1/1/2018,1/1/2023,2083,1716,21,13,19,0,0,0,0,7,0,134,656,10,219,0,427,161,1427,1308,64,39,6,10,82.4,1,1.9,0.6,0.9,0,0,0,0,0.3,0,6.4,17.6,31.5,0.5,10.5,0,20.5,68.5,62.8,3.1,1.9,0.3
1400000US25025160400,1604,1/1/2018,1/1/2023,3281,1889,16,62,46,5,0,0,0,6,0,169,1771,46,278,0,1447,522,1510,923,302,119,16,150,57.6,0.5,3.6,1.9,1.4,0.2,0,0,0,0.2,0,5.2,42.4,54,1.4,8.5,0,44.1,46,28.1,9.2,3.6,0.5
1400000US25025160501,1605.01,1/1/2018,1/1/2023,6283,4166,0,57,71,0,0,0,130,0,0,1354,4807,0,1123,0,3684,880,1476,894,202,258,0,122,66.3,0,4.1,0.9,1.1,0,0,0,2.1,0,0,21.6,33.7,76.5,0,17.9,0,58.6,23.5,14.2,3.2,4.1,0
1400000US25025160502,1605.02,1/1/2018,1/1/2023,5464,2900,79,24,27,0,0,0,8,36,0,865,3348,87,414,43,2804,745,2116,997,313,95,13,698,53.1,1.4,1.7,0.4,0.5,0,0,0,0.1,0.7,0,15.8,46.9,61.3,1.6,7.6,0.8,51.3,38.7,18.2,5.7,1.7,0.2
1400000US25025160601,1606.01,1/1/2018,1/1/2023,4709,3046,0,0,19,12,0,24,0,0,0,885,2820,8,554,29,2229,1089,1889,1050,381,55,57,346,64.7,0,1.2,0,0.4,0.3,0,0.5,0,0,0,18.8,35.3,59.9,0.2,11.8,0.6,47.3,40.1,22.3,8.1,1.2,1.2
1400000US25025160602,1606.02,1/1/2018,1/1/2023,5137,3739,0,45,46,18,0,0,366,0,0,584,2781,13,564,1,2203,681,2356,1486,209,475,84,102,72.8,0,9.2,0.9,0.9,0.4,0,0,7.1,0,0,11.4,27.2,54.1,0.3,11,0,42.9,45.9,28.9,4.1,9.2,1.6
